"Genus_species","Interlimb","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Ctenophorus pictus",32.35,20.03,6.51,8.15,12.92,2.92,3.61,8.86,7.77,119,9.93,9.25,9.58,13.51,15.95,20.38,14.68,8.04
"Ctenophorus reticulatus",49.88,27.96,9.79,13.36,21.82,3.14,4.91,14.42,13.45,142,11.99,11.27,13.08,17.68,21.05,23.18,18.48,11.04
"Ctenophorus reticulatus",54.01,28.83,10.93,12.62,26.99,4.59,5.5,14.36,14.12,145,13.73,12.94,14.99,19,22.46,24.37,16.28,10.96
"Ctenophorus reticulatus",56.12,25.02,9.36,13.78,21.53,4.05,4.67,14.32,12.53,155,14.02,14.12,14.78,20.62,20.69,24.43,20.51,12.31
"Ctenophorus rubens",40.23,17.25,8.78,12.08,17,4.29,4.77,12.6,10.9,191,14.1,13.6,13.72,21.43,25.87,34.84,16.16,10
"Ctenophorus rubens",39.76,17.21,8.12,9.35,15.51,2.99,3.88,10.68,8.44,181,11.25,11.29,11.16,18.19,22.67,29.5,15.44,10.83
"Ctenophorus rubens",37.89,17.34,8.61,8.43,14.65,3.56,4.38,11.19,8.45,145,12.41,12.16,10.04,18.06,22.7,28.78,15.8,9.65
"Ctenophorus rubens",37.69,15.79,8.14,10.85,15.71,3.22,4.15,11.55,9.34,132,11.35,11.48,12,21.91,24.43,29.55,16.17,11.45
"Ctenophorus rufescens",34.64,21.03,5.93,7.98,13.8,2.95,3.43,8.92,7.75,136,11.84,10.61,12.46,17.73,21.8,26.98,15.85,8.33
"Ctenophorus rufescens",35.42,19.12,7.01,8.05,15.27,2.89,4.07,9.55,8.64,167,13.59,11.4,13,20.43,24.68,31.14,16.36,9.67
"Ctenophorus rufescens",35.34,18.19,6.17,7.77,13.91,3,3.62,8.29,6.91,140,9.97,10.57,11.83,18.03,21.01,27.58,14.64,8.02
"Ctenophorus salinarum",37,19.55,7.61,8.92,15.47,3.25,3.32,11.27,8.3,127,10.14,11.01,11.55,15.05,17.53,21.38,12.08,9.79
"Ctenophorus salinarum",34.36,16.58,6.77,8.41,16.88,3.9,3.99,11.29,7.25,117,11.55,10.65,13.12,16.25,18.82,22.63,14.6,10.2
"Ctenophorus salinarum",35.61,16.71,6.6,8.09,16.53,3.1,3.63,10.83,7.98,118,9.85,10.24,10.44,14.84,16.73,19.97,11.83,10.48
"Ctenophorus salinarum",35.34,20.61,6.95,9.46,16.64,2.84,4.01,12.1,8.07,113,11.17,10.24,10.5,15.16,16.66,20.91,16.37,11.49
"Ctenophorus scutulatus",56.98,25.37,11.03,16.32,21.26,3.8,5.46,14.76,16.19,280,17.87,15.11,14.58,27.09,31.54,37.26,23.23,15.75
"Ctenophorus scutulatus",54.19,23.04,10.85,15.11,19.77,4.37,5.16,14.74,13.97,246,13.02,13.74,14.72,24.74,27.93,36.31,21.17,12.32
"Ctenophorus scutulatus",57.18,22.89,8.44,15.69,20.24,4.24,4.54,14.47,13.92,267,15.68,15.46,16.48,25.56,28.55,40.55,23.59,14.05
"Ctenophorus scutulatus",60.71,24.06,12.16,13.95,20.71,4.14,5.19,14.44,15.34,273,17.07,15.44,17.52,27.31,30.35,40.87,20.4,13.67
"Ctenophorus slateri",42.75,21.88,7.49,13.08,22.64,3.29,4.28,15.36,10.37,189,13.98,14.16,15.58,24.44,26.46,33.36,17.04,13.42
